gvkey,iid,gvkeyx,from,thru,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
034443,01,000005,20190402,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,DOW INC,DOW,260557103,0001751788,2821,325211
001300,01,000005,20200831,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,HONEYWELL INTERNATIONAL INC,HON,438516106,0000773840,9997,336413
001602,01,000005,20200831,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,AMGEN INC,AMGN,031162100,0000318154,2836,325414
157855,01,000005,20200831,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,SALESFORCE INC,CRM,79466L302,0001108524,7372,511210
002574,01,000006,19000101,,Dow Jones Transportation-20,SECTOR,I0006,,,DOW,CSX CORP,CSX,126408103,0000277948,4011,482111
004598,01,000006,19000101,,Dow Jones Transportation-20,SECTOR,I0006,,,DOW,FEDEX CORP,FDX,31428X106,0001048911,4513,492110
007923,01,000006,19000101,,Dow Jones Transportation-20,SECTOR,I0006,,,DOW,NORFOLK SOUTHERN CORP,NSC,655844108,0000702165,4011,482111
009299,01,000006,19000101,,Dow Jones Transportation-20,SECTOR,I0006,,,DOW,RYDER SYSTEM INC,R,783549108,0000085961,7510,532120
009882,01,000006,19000101,,Dow Jones Transportation-20,SECTOR,I0006,,,DOW,SOUTHWEST AIRLINES,LUV,844741108,0000092380,4512,481111
010867,01,000006,19000101,,Dow Jones Transportation-20,SECTOR,I0006,,,DOW,UNION PACIFIC CORP,UNP,907818108,0000100885,4011,482111
001254,01,000006,19971113,,Dow Jones Transportation-20,SECTOR,I0006,,,DOW,MATSON INC,MATX,57686G105,0000003453,4400,483113
004941,01,000006,19980323,,Dow Jones Transportation-20,SECTOR,I0006,,,DOW,GATX CORP,GATX,361448103,0000040211,4700,532411
005783,01,000006,19990322,,Dow Jones Transportation-20,SECTOR,I0006,,,DOW,HUNT (JB) TRANSPRT SVCS INC,JBHT,445658107,0000728535,4213,484121
010920,01,000006,20021211,,Dow Jones Transportation-20,SECTOR,I0006,,,DOW,UNITED PARCEL SERVICE INC,UPS,911312106,0001090727,4210,492110
004494,01,000006,20030819,,Dow Jones Transportation-20,SECTOR,I0006,,,DOW,EXPEDITORS INTL WASH INC,EXPD,302130109,0000746515,4731,488510
065609,01,000006,20031212,,Dow Jones Transportation-20,SECTOR,I0006,,,DOW,C H ROBINSON WORLDWIDE INC,CHRW,12541W209,0001043277,4213,484121
021440,01,000006,20050524,,Dow Jones Transportation-20,SECTOR,I0006,,,DOW,LANDSTAR SYSTEM INC,LSTR,515098101,0000853816,4213,484121
147305,01,000006,20050919,,Dow Jones Transportation-20,SECTOR,I0006,,,DOW,JETBLUE AIRWAYS CORP,JBLU,477143101,0001158463,4512,481111
003851,03,000006,20091212,,Dow Jones Transportation-20,SECTOR,I0006,,,DOW,DELTA AIR LINES INC,DAL,247361702,0000027904,4512,481111
006335,01,000006,20100216,,Dow Jones Transportation-20,SECTOR,I0006,,,DOW,KANSAS CITY SOUTHERN,KSU,485170302,0000054480,4011,482111
010795,04,000006,20101001,,Dow Jones Transportation-20,SECTOR,I0006,,,DOW,UNITED AIRLINES HOLDINGS INC,UAL,910047109,0000100517,4512,481111
001230,01,000006,20120105,,Dow Jones Transportation-20,SECTOR,I0006,,,DOW,ALASKA AIR GROUP INC,ALK,011659109,0000766421,4512,481111
006461,01,000006,20121101,,Dow Jones Transportation-20,SECTOR,I0006,,,DOW,KIRBY CORP,KEX,497266106,0000056047,4400,483211
001045,04,000006,20151015,,Dow Jones Transportation-20,SECTOR,I0006,,,DOW,AMERICAN AIRLINES GROUP INC,AAL,02376R102,0000006201,4512,481111
001440,01,000007,19000101,,Dow Jones Utilities-15 Stk,SECTOR,I0007,,,DOW,AMERICAN ELECTRIC POWER CO,AEP,025537101,0000004904,4911,2211
003413,01,000007,19000101,,Dow Jones Utilities-15 Stk,SECTOR,I0007,,,DOW,CONSOLIDATED EDISON INC,ED,209115104,0001047862,4931,22111
008264,01,000007,19000101,,Dow Jones Utilities-15 Stk,SECTOR,I0007,,,DOW,PG&E CORP,PCG,69331C108,0001004980,4931,2211
008539,01,000007,19000101,,Dow Jones Utilities-15 Stk,SECTOR,I0007,,,DOW,EXELON CORP,EXC,30161N101,0001109357,4911,22111
008810,01,000007,19000101,,Dow Jones Utilities-15 Stk,SECTOR,I0007,,,DOW,PUBLIC SERVICE ENTRP GRP INC,PEG,744573106,0000788784,4931,22111
009846,01,000007,19000101,,Dow Jones Utilities-15 Stk,SECTOR,I0007,,,DOW,EDISON INTERNATIONAL,EIX,281020107,0000827052,4911,22111
004093,01,000007,19970512,,Dow Jones Utilities-15 Stk,SECTOR,I0007,,,DOW,DUKE ENERGY CORP,DUK,26441C204,0001326160,4931,2211
009850,01,000007,19970512,,Dow Jones Utilities-15 Stk,SECTOR,I0007,,,DOW,SOUTHERN CO,SO,842587107,0000092122,4911,2211
011506,01,000007,19970512,,Dow Jones Utilities-15 Stk,SECTOR,I0007,,,DOW,WILLIAMS COS INC,WMB,969457100,0000107263,4922,486210
005742,01,000007,19970807,,Dow Jones Utilities-15 Stk,SECTOR,I0007,,,DOW,CENTERPOINT ENERGY INC,CNP,15189T107,0001130310,4931,22111
004029,01,000007,20000129,,Dow Jones Utilities-15 Stk,SECTOR,I0007,,,DOW,DOMINION ENERGY INC,D,25746U109,0000715957,4911,22111
007974,01,000007,20001113,,Dow Jones Utilities-15 Stk,SECTOR,I0007,,,DOW,NISOURCE INC,NI,65473P105,0001111711,4932,221210
024216,01,000007,20001113,,Dow Jones Utilities-15 Stk,SECTOR,I0007,,,DOW,AES CORP (THE),AES,00130H105,0000874761,4991,22111
008099,01,000007,20011203,,Dow Jones Utilities-15 Stk,SECTOR,I0007,,,DOW,FIRSTENERGY CORP,FE,337932107,0001031296,4911,22111
004517,01,000007,20071011,,Dow Jones Utilities-15 Stk,SECTOR,I0007,,,DOW,NEXTERA ENERGY INC,NEE,65339F101,0000753308,4911,22111
001602,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,AMGEN INC,AMGN,031162100,0000318154,2836,325414
001690,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,APPLE INC,AAPL,037833100,0000320193,3663,334220
001704,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,APPLIED MATERIALS INC,AMAT,038222105,0000006951,3559,333242
006008,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,INTEL CORP,INTC,458140100,0000050863,3674,334413
008253,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,PACCAR INC,PCAR,693718108,0000075362,3711,336120
008402,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,PAYCHEX INC,PAYX,704326107,0000723531,8721,541214
012141,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,MICROSOFT CORP,MSFT,594918104,0000789019,7372,511210
012540,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ADOBE INC,ADBE,00724F101,0000796343,7370,518210
020779,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,CISCO SYSTEMS INC,CSCO,17275R102,0000858877,3576,334210
024800,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,QUALCOMM INC,QCOM,747525103,0000804328,3674,334413
029028,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,COSTCO WHOLESALE CORP,COST,22160K105,0000909832,5399,452311
022325,01,000208,19950101,20220215,Nasdaq 100,LGCAP,I0028,,,EXCHG,XILINX INC,XLNX,983919101,0000743988,3674,334413
025434,01,000208,19961125,,Nasdaq 100,LGCAP,I0028,,,EXCHG,STARBUCKS CORP,SBUX,855244109,0000829224,5812,722513
012635,01,000208,19961223,,Nasdaq 100,LGCAP,I0028,,,EXCHG,FISERV INC,FISV,337738108,0000798354,7374,518210
027928,01,000208,19981221,,Nasdaq 100,LGCAP,I0028,,,EXCHG,INTUIT INC,INTU,461202103,0000896878,7372,511210
064768,01,000208,19981221,,Nasdaq 100,LGCAP,I0028,,,EXCHG,AMAZON.COM INC,AMZN,023135106,0001018724,5961,454110
114524,01,000208,19991006,,Nasdaq 100,LGCAP,I0028,,,EXCHG,EBAY INC,EBAY,278642103,0001065088,7370,518210
024468,01,000208,20001218,,Nasdaq 100,LGCAP,I0028,,,EXCHG,BIOGEN INC,BIIB,09062X103,0000875045,2836,325414
063185,01,000208,20001218,20211220,Nasdaq 100,LGCAP,I0028,,,EXCHG,CHECK POINT SOFTWARE TECHN,CHKP,M22465104,0001015922,7372,511210
024856,01,000208,20011005,,Nasdaq 100,LGCAP,I0028,,,EXCHG,GILEAD SCIENCES INC,GILD,375558103,0000882095,2836,325414
003226,01,000208,20021119,,Nasdaq 100,LGCAP,I0028,,,EXCHG,COMCAST CORP,CMCSA,20030N101,0001166691,4841,515210
014225,01,000208,20021223,,Nasdaq 100,LGCAP,I0028,,,EXCHG,FASTENAL CO,FAST,311900104,0000815556,5000,423
001878,01,000208,20041220,,Nasdaq 100,LGCAP,I0028,,,EXCHG,AUTODESK INC,ADSK,052769106,0000769397,7370,519130
111864,01,000208,20041229,,Nasdaq 100,LGCAP,I0028,,,EXCHG,COGNIZANT TECH SOLUTIONS,CTSH,192446102,0001058290,7370,541512
117768,01,000208,20051221,,Nasdaq 100,LGCAP,I0028,,,EXCHG,NVIDIA CORP,NVDA,67066G104,0001045810,3674,334413
160329,01,000208,20051221,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ALPHABET INC,GOOGL,02079K305,0001652044,7370,518210
136725,01,000208,20060208,,Nasdaq 100,LGCAP,I0028,,,EXCHG,INTUITIVE SURGICAL INC,ISRG,46120E602,0001035267,3845,334510
024344,01,000208,20061220,,Nasdaq 100,LGCAP,I0028,,,EXCHG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,0000875320,2834,325412
164532,90,000208,20071205,,Nasdaq 100,LGCAP,I0028,,,EXCHG,BAIDU INC,BIDU,056752108,0001329099,7370,519130
180405,01,000208,20080710,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ACTIVISION BLIZZARD INC,ATVI,00507V109,0000718877,7372,511210
001891,01,000208,20081230,,Nasdaq 100,LGCAP,I0028,,,EXCHG,AUTOMATIC DATA PROCESSING,ADP,053015103,0000008670,7374,518210
009248,01,000208,20081230,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ROSS STORES INC,ROST,778296103,0000745732,5651,448140
028180,01,000208,20081230,,Nasdaq 100,LGCAP,I0028,,,EXCHG,O'REILLY AUTOMOTIVE INC,ORLY,67103H107,0000898173,5531,441310
012850,01,000208,20090717,20211220,Nasdaq 100,LGCAP,I0028,,,EXCHG,CERNER CORP,CERN,156782104,0000804753,7373,541512
119314,01,000208,20091029,,Nasdaq 100,LGCAP,I0028,,,EXCHG,BOOKING HOLDINGS INC,BKNG,09857L108,0001075531,7370,519130
007343,01,000208,20101220,,Nasdaq 100,LGCAP,I0028,,,EXCHG,MICRON TECHNOLOGY INC,MU,595112103,0000723125,3674,334413
031587,01,000208,20101220,,Nasdaq 100,LGCAP,I0028,,,EXCHG,DOLLAR TREE INC,DLTR,256746108,0000935703,5331,452319
062263,01,000208,20110404,20210721,Nasdaq 100,LGCAP,I0028,,,EXCHG,ALEXION PHARMACEUTICALS INC,ALXN,015351109,0000899866,2836,325414
030662,01,000208,20110720,,Nasdaq 100,LGCAP,I0028,,,EXCHG,SIRIUS XM HOLDINGS INC,SIRI,82968B103,0000908937,4832,515112
024316,01,000208,20111219,,Nasdaq 100,LGCAP,I0028,,,EXCHG,MONSTER BEVERAGE CORP,MNST,61174X109,0000865752,2086,312111
180711,01,000208,20111219,,Nasdaq 100,LGCAP,I0028,,,EXCHG,BROADCOM INC,AVGO,11135F101,0001730168,3674,334413
010499,01,000208,20120423,,Nasdaq 100,LGCAP,I0028,,,EXCHG,TEXAS INSTRUMENTS INC,TXN,882508104,0000097476,3674,334413
142953,01,000208,20120724,,Nasdaq 100,LGCAP,I0028,,,EXCHG,MONDELEZ INTERNATIONAL INC,MDLZ,609207105,0001103982,2052,311821
170617,01,000208,20121212,,Nasdaq 100,LGCAP,I0028,,,EXCHG,META PLATFORMS INC,META,30303M102,0001326801,7370,519130
001632,01,000208,20121224,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ANALOG DEVICES INC,ADI,032654105,0000006281,3674,334413
023812,01,000208,20121224,,Nasdaq 100,LGCAP,I0028,,,EXCHG,REGENERON PHARMACEUTICALS,REGN,75886F107,0000872589,2834,325412
180652,01,000208,20121224,,Nasdaq 100,LGCAP,I0028,,,EXCHG,VERISK ANALYTICS INC,VRSK,92345Y106,0001442145,6411,524298
147579,01,000208,20130606,,Nasdaq 100,LGCAP,I0028,,,EXCHG,NETFLIX INC,NFLX,64110L106,0001065280,7841,532282
184996,01,000208,20130715,,Nasdaq 100,LGCAP,I0028,,,EXCHG,TESLA INC,TSLA,88160R101,0001318605,3711,336111
126136,03,000208,20130730,,Nasdaq 100,LGCAP,I0028,,,EXCHG,CHARTER COMMUNICATIONS INC,CHTR,16119P108,0001091667,4841,515210
028930,02,000208,20131120,,Nasdaq 100,LGCAP,I0028,,,EXCHG,MARRIOTT INTL INC,MAR,571903202,0001048286,7011,721110
138205,01,000208,20131223,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ILLUMINA INC,ILMN,452327109,0001110803,3826,334516
160329,03,000208,20140403,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ALPHABET INC,GOOGL,02079K107,0001652044,7370,518210
006565,01,000208,20141222,,Nasdaq 100,LGCAP,I0028,,,EXCHG,LAM RESEARCH CORP,LRCX,512807108,0000707549,3559,333242
016721,01,000208,20141222,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ELECTRONIC ARTS INC,EA,285512109,0000712515,7372,511210
011264,01,000208,20150323,,Nasdaq 100,LGCAP,I0028,,,EXCHG,WALGREENS BOOTS ALLIANCE INC,WBA,931427108,0001618921,5912,446110
005568,04,000208,20150703,,Nasdaq 100,LGCAP,I0028,,,EXCHG,KRAFT HEINZ CO,KHC,500754106,0001637459,2030,31142
019744,90,000208,20150729,,Nasdaq 100,LGCAP,I0028,,,EXCHG,JD.COM INC,JD,47215P106,0001549802,5961,454110
001327,01,000208,20150805,,Nasdaq 100,LGCAP,I0028,,,EXCHG,SKYWORKS SOLUTIONS INC,SWKS,83088M102,0000004127,3674,334413
029127,01,000208,20151007,20211220,Nasdaq 100,LGCAP,I0028,,,EXCHG,INCYTE CORP,INCY,45337C102,0000879169,2836,325414
024616,01,000208,20151111,,Nasdaq 100,LGCAP,I0028,,,EXCHG,PAYPAL HOLDINGS INC,PYPL,70450Y103,0001633917,7374,518210
017874,01,000208,20151221,,Nasdaq 100,LGCAP,I0028,,,EXCHG,T-MOBILE US INC,TMUS,872590104,0001283699,4812,517312
014256,01,000208,20151221,20210825,Nasdaq 100,LGCAP,I0028,,,EXCHG,MAXIM INTEGRATED PRODUCTS,MXIM,57772K101,0000743316,3674,334413
157413,90,000208,20151221,20211220,Nasdaq 100,LGCAP,I0028,,,EXCHG,TRIP COM GROUP LTD,TCOM,89677Q107,0001269238,4700,561510
002574,01,000208,20160226,,Nasdaq 100,LGCAP,I0028,,,EXCHG,CSX CORP,CSX,126408103,0000277948,4011,482111
137435,90,000208,20160316,,Nasdaq 100,LGCAP,I0028,,,EXCHG,NETEASE INC,NTES,64110W102,0001110646,7370,519130
027965,01,000208,20160720,,Nasdaq 100,LGCAP,I0028,,,EXCHG,MICROCHIP TECHNOLOGY INC,MCHP,595017104,0000827054,3674,334413
003062,01,000208,20161219,,Nasdaq 100,LGCAP,I0028,,,EXCHG,CINTAS CORP,CTAS,172908105,0000723254,7200,812331
006304,01,000208,20161219,,Nasdaq 100,LGCAP,I0028,,,EXCHG,KLA CORP,KLAC,482480100,0000319201,3827,333314
024197,01,000208,20170320,,Nasdaq 100,LGCAP,I0028,,,EXCHG,IDEXX LABS INC,IDXX,45168D104,0000874716,2835,325413
178081,01,000208,20170619,,Nasdaq 100,LGCAP,I0028,,,EXCHG,MERCADOLIBRE INC,MELI,58733R102,0001099590,7370,519130
141384,01,000208,20171030,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ALIGN TECHNOLOGY INC,ALGN,016255101,0001097149,3843,339114
013421,01,000208,20171218,,Nasdaq 100,LGCAP,I0028,,,EXCHG,CADENCE DESIGN SYSTEMS INC,CDNS,127387108,0000813672,7372,511210
015044,01,000208,20171218,,Nasdaq 100,LGCAP,I0028,,,EXCHG,WORKDAY INC,WDAY,98138H101,0001327811,7370,519130
024975,01,000208,20171218,,Nasdaq 100,LGCAP,I0028,,,EXCHG,SYNOPSYS INC,SNPS,871607107,0000883241,7372,511210
061214,90,000208,20171218,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ASML HOLDING NV,ASML,N07059210,0000937966,3559,333242
008479,01,000208,20180724,,Nasdaq 100,LGCAP,I0028,,,EXCHG,PEPSICO INC,PEP,713448108,0000077476,2080,31211
184725,01,000208,20181107,,Nasdaq 100,LGCAP,I0028,,,EXCHG,NXP SEMICONDUCTORS NV,NXPI,N6596X109,0001413447,3674,334413
007977,01,000208,20181129,,Nasdaq 100,LGCAP,I0028,,,EXCHG,XCEL ENERGY INC,XEL,98389B100,0000072903,4931,2211
001161,01,000208,20181228,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ADVANCED MICRO DEVICES,AMD,007903107,0000002488,3674,334413
066368,01,000208,20181228,,Nasdaq 100,LGCAP,I0028,,,EXCHG,VERISIGN INC,VRSN,92343E102,0001014473,7370,519130
178015,01,000208,20181228,,Nasdaq 100,LGCAP,I0028,,,EXCHG,LULULEMON ATHLETICA INC,LULU,550021109,0001397187,2300,315240
008539,01,000208,20191121,,Nasdaq 100,LGCAP,I0028,,,EXCHG,EXELON CORP,EXC,30161N101,0001109357,4911,22111
029901,01,000208,20191223,,Nasdaq 100,LGCAP,I0028,,,EXCHG,COPART INC,CPRT,217204106,0000900075,5010,425120
063080,01,000208,20191223,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ANSYS INC,ANSS,03662Q105,0001013462,7372,511210
141460,01,000208,20191223,,Nasdaq 100,LGCAP,I0028,,,EXCHG,SEAGEN INC,SGEN,81181C104,0001060736,2836,325414
170616,01,000208,20191223,,Nasdaq 100,LGCAP,I0028,,,EXCHG,SPLUNK INC,SPLK,848637104,0001353283,7372,511210
028320,02,000208,20191223,20211220,Nasdaq 100,LGCAP,I0028,,,EXCHG,CDW CORP,CDW,12514G108,0001402057,5045,423430
034636,01,000208,20200319,20211220,Nasdaq 100,LGCAP,I0028,,,EXCHG,FOX CORP,FOXA,35137L105,0001754301,4833,515120
034636,02,000208,20200319,20211220,Nasdaq 100,LGCAP,I0028,,,EXCHG,FOX CORP,FOXA,35137L204,0001754301,4833,515120
162887,01,000208,20200420,,Nasdaq 100,LGCAP,I0028,,,EXCHG,DEXCOM INC,DXCM,252131107,0001093557,3845,334510
035005,01,000208,20200430,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ZOOM VIDEO COMUNICATIONS INC,ZM,98980L101,0001585521,7370,519130
033301,01,000208,20200622,,Nasdaq 100,LGCAP,I0028,,,EXCHG,DOCUSIGN INC,DOCU,256163106,0001261333,7370,518210
034410,01,000208,20200720,,Nasdaq 100,LGCAP,I0028,,,EXCHG,MODERNA INC,MRNA,60770K107,0001682852,2836,325414
033861,90,000208,20200824,,Nasdaq 100,LGCAP,I0028,,,EXCHG,PINDUODUO INC -ADR,PDD,722304102,0001737806,7370,519130
028877,02,000208,20201019,,Nasdaq 100,LGCAP,I0028,,,EXCHG,KEURIG DR PEPPER INC,KDP,49271V100,0001418135,2090,311920
001440,01,000208,20201221,,Nasdaq 100,LGCAP,I0028,,,EXCHG,AMERICAN ELECTRIC POWER CO,AEP,025537101,0000004904,4911,2211
026061,01,000208,20201221,,Nasdaq 100,LGCAP,I0028,,,EXCHG,MATCH GROUP INC,MTCH,57667L107,0000891103,7370,519130
026494,01,000208,20201221,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ATLASSIAN CORP PLC,TEAM,G06242104,0001650372,7370,519130
030736,01,000208,20201221,,Nasdaq 100,LGCAP,I0028,,,EXCHG,OKTA INC,OKTA,679295105,0001660134,7370,519130
137310,01,000208,20201221,,Nasdaq 100,LGCAP,I0028,,,EXCHG,MARVELL TECHNOLOGY INC,MRVL,573874104,0001058057,3674,334413
035627,01,000208,20201221,20220124,Nasdaq 100,LGCAP,I0028,,,EXCHG,PELOTON INTERACTIVE INC,PTON,70614W100,0001639825,3949,339920
001300,01,000208,20210721,,Nasdaq 100,LGCAP,I0028,,,EXCHG,HONEYWELL INTERNATIONAL INC,HON,438516106,0000773840,9997,336413
035182,01,000208,20210826,,Nasdaq 100,LGCAP,I0028,,,EXCHG,CROWDSTRIKE HOLDINGS INC,CRWD,22788C105,0001535527,7370,518210
033037,01,000208,20211220,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ZSCALER INC,ZS,98980G102,0001713683,7370,518210
035620,01,000208,20211220,,Nasdaq 100,LGCAP,I0028,,,EXCHG,DATADOG INC,DDOG,23804L103,0001561550,7370,519130
037460,01,000208,20211220,,Nasdaq 100,LGCAP,I0028,,,EXCHG,AIRBNB INC,ABNB,009066101,0001559720,7000,721
039337,01,000208,20211220,,Nasdaq 100,LGCAP,I0028,,,EXCHG,LUCID GROUP INC,LCID,549498103,0001811210,3711,336111
171067,01,000208,20211220,,Nasdaq 100,LGCAP,I0028,,,EXCHG,PALO ALTO NETWORKS INC,PANW,697435105,0001327567,7370,519130
183377,01,000208,20211220,,Nasdaq 100,LGCAP,I0028,,,EXCHG,FORTINET INC,FTNT,34959E109,0001262039,3577,334118
